booking_date,value_date,amount,currency,counterparty,memo,reference,balance
2026-01-01,2026-01-01,1000.00,CHF,Throughput Vendor 0 AG,Throughput payment 0,THR-0,50000.00
2026-01-02,2026-01-02,-21.01,CHF,Throughput Vendor 1 AG,Throughput payment 1,THR-1,50001.01
2026-01-03,2026-01-03,-22.02,CHF,Throughput Vendor 2 AG,Throughput payment 2,THR-2,50002.02
2026-01-04,2026-01-04,-23.03,CHF,Throughput Vendor 3 AG,Throughput payment 3,THR-3,50003.03
2026-01-05,2026-01-05,-24.04,CHF,Throughput Vendor 4 AG,Throughput payment 4,THR-4,50004.04
2026-01-06,2026-01-06,1005.05,CHF,Throughput Vendor 5 AG,Throughput payment 5,THR-5,50005.05
2026-01-07,2026-01-07,-26.06,CHF,Throughput Vendor 6 AG,Throughput payment 6,THR-6,50006.06
2026-01-08,2026-01-08,-27.07,CHF,Throughput Vendor 7 AG,Throughput payment 7,THR-7,50007.07
2026-01-09,2026-01-09,-28.08,CHF,Throughput Vendor 8 AG,Throughput payment 8,THR-8,50008.08
2026-01-10,2026-01-10,-29.09,CHF,Throughput Vendor 9 AG,Throughput payment 9,THR-9,50009.09
2026-01-11,2026-01-11,1010.10,CHF,Throughput Vendor 10 AG,Throughput payment 10,THR-10,50010.10
2026-01-12,2026-01-12,-31.11,CHF,Throughput Vendor 11 AG,Throughput payment 11,THR-11,50011.11
2026-01-13,2026-01-13,-32.12,CHF,Throughput Vendor 12 AG,Throughput payment 12,THR-12,50012.12
2026-01-14,2026-01-14,-33.13,CHF,Throughput Vendor 13 AG,Throughput payment 13,THR-13,50013.13
2026-01-15,2026-01-15,-34.14,CHF,Throughput Vendor 14 AG,Throughput payment 14,THR-14,50014.14
2026-01-16,2026-01-16,1015.15,CHF,Throughput Vendor 15 AG,Throughput payment 15,THR-15,50015.15
2026-01-17,2026-01-17,-36.16,CHF,Throughput Vendor 16 AG,Throughput payment 16,THR-16,50016.16
2026-01-18,2026-01-18,-37.17,CHF,Throughput Vendor 17 AG,Throughput payment 17,THR-17,50017.17
2026-01-19,2026-01-19,-38.18,CHF,Throughput Vendor 18 AG,Throughput payment 18,THR-18,50018.18
2026-01-20,2026-01-20,-39.19,CHF,Throughput Vendor 19 AG,Throughput payment 19,THR-19,50019.19
2026-01-21,2026-01-21,1020.20,CHF,Throughput Vendor 20 AG,Throughput payment 20,THR-20,50020.20
2026-01-22,2026-01-22,-41.21,CHF,Throughput Vendor 21 AG,Throughput payment 21,THR-21,50021.21
2026-01-23,2026-01-23,-42.22,CHF,Throughput Vendor 22 AG,Throughput payment 22,THR-22,50022.22
2026-01-24,2026-01-24,-43.23,CHF,Throughput Vendor 23 AG,Throughput payment 23,THR-23,50023.23
